Date,Hour,Solar Radiation
2/13/24,12:00:00 AM,0
2/13/24,1:00:00 AM,0
2/13/24,2:00:00 AM,0
2/13/24,3:00:00 AM,0
2/13/24,4:00:00 AM,0
2/13/24,5:00:00 AM,0
2/13/24,6:00:00 AM,0
2/13/24,7:00:00 AM,17
2/13/24,8:00:00 AM,62
2/13/24,9:00:00 AM,90
2/13/24,10:00:00 AM,121
2/13/24,11:00:00 AM,286
2/13/24,12:00:00 PM,504
2/13/24,1:00:00 PM,503
2/13/24,2:00:00 PM,437
2/13/24,3:00:00 PM,332
2/13/24,4:00:00 PM,159
2/13/24,5:00:00 PM,18
2/13/24,6:00:00 PM,0
2/13/24,7:00:00 PM,0
2/13/24,8:00:00 PM,0
2/13/24,9:00:00 PM,0
2/13/24,10:00:00 PM,0
2/13/24,11:00:00 PM,0
2/14/24,12:00:00 AM,0
2/14/24,1:00:00 AM,0
2/14/24,2:00:00 AM,0
2/14/24,3:00:00 AM,0
2/14/24,4:00:00 AM,0
2/14/24,5:00:00 AM,0
2/14/24,6:00:00 AM,1
2/14/24,7:00:00 AM,52
2/14/24,8:00:00 AM,262
2/14/24,9:00:00 AM,432
2/14/24,10:00:00 AM,540
2/14/24,11:00:00 AM,635
2/14/24,12:00:00 PM,652
2/14/24,1:00:00 PM,607
2/14/24,2:00:00 PM,500
2/14/24,3:00:00 PM,348
2/14/24,4:00:00 PM,172
2/14/24,5:00:00 PM,21
2/14/24,6:00:00 PM,0
2/14/24,7:00:00 PM,0
2/14/24,8:00:00 PM,0
2/14/24,9:00:00 PM,0
2/14/24,10:00:00 PM,0
2/14/24,11:00:00 PM,0
2/15/24,12:00:00 AM,0
2/15/24,1:00:00 AM,0
2/15/24,2:00:00 AM,0
2/15/24,3:00:00 AM,0
2/15/24,4:00:00 AM,0
2/15/24,5:00:00 AM,0
2/15/24,6:00:00 AM,1
2/15/24,7:00:00 AM,82
2/15/24,8:00:00 AM,255
2/15/24,9:00:00 AM,407
2/15/24,10:00:00 AM,385
2/15/24,11:00:00 AM,394
2/15/24,12:00:00 PM,514
2/15/24,1:00:00 PM,462
2/15/24,2:00:00 PM,342
2/15/24,3:00:00 PM,317
2/15/24,4:00:00 PM,112
2/15/24,5:00:00 PM,27
2/15/24,6:00:00 PM,0
2/15/24,7:00:00 PM,0
2/15/24,8:00:00 PM,0
2/15/24,9:00:00 PM,0
2/15/24,10:00:00 PM,0
2/15/24,11:00:00 PM,0
2/16/24,12:00:00 AM,0
2/16/24,1:00:00 AM,0
2/16/24,2:00:00 AM,0
2/16/24,3:00:00 AM,0
2/16/24,4:00:00 AM,0
2/16/24,5:00:00 AM,0
2/16/24,6:00:00 AM,1
2/16/24,7:00:00 AM,86
2/16/24,8:00:00 AM,265
2/16/24,9:00:00 AM,435
2/16/24,10:00:00 AM,564
2/16/24,11:00:00 AM,607
2/16/24,12:00:00 PM,627
2/16/24,1:00:00 PM,565
2/16/24,2:00:00 PM,489
2/16/24,3:00:00 PM,344
2/16/24,4:00:00 PM,167
2/16/24,5:00:00 PM,15
2/16/24,6:00:00 PM,0
2/16/24,7:00:00 PM,0
2/16/24,8:00:00 PM,0
2/16/24,9:00:00 PM,0
2/16/24,10:00:00 PM,0
2/16/24,11:00:00 PM,0
2/17/24,12:00:00 AM,0
2/17/24,1:00:00 AM,0
2/17/24,2:00:00 AM,0
2/17/24,3:00:00 AM,0
2/17/24,4:00:00 AM,0
2/17/24,5:00:00 AM,0
2/17/24,6:00:00 AM,0
2/17/24,7:00:00 AM,22
2/17/24,8:00:00 AM,69
2/17/24,9:00:00 AM,154
2/17/24,10:00:00 AM,293
2/17/24,11:00:00 AM,655
2/17/24,12:00:00 PM,455
2/17/24,1:00:00 PM,379
2/17/24,2:00:00 PM,227
2/17/24,3:00:00 PM,277
2/17/24,4:00:00 PM,125
2/17/24,5:00:00 PM,25
2/17/24,6:00:00 PM,0
2/17/24,7:00:00 PM,0
2/17/24,8:00:00 PM,0
2/17/24,9:00:00 PM,0
2/17/24,10:00:00 PM,0
2/17/24,11:00:00 PM,0
2/18/24,12:00:00 AM,0
2/18/24,1:00:00 AM,0
2/18/24,2:00:00 AM,0
2/18/24,3:00:00 AM,0
2/18/24,4:00:00 AM,0
2/18/24,5:00:00 AM,0
2/18/24,6:00:00 AM,1
2/18/24,7:00:00 AM,31
2/18/24,8:00:00 AM,255
2/18/24,9:00:00 AM,454
2/18/24,10:00:00 AM,584
2/18/24,11:00:00 AM,657
2/18/24,12:00:00 PM,671
2/18/24,1:00:00 PM,627
2/18/24,2:00:00 PM,525
2/18/24,3:00:00 PM,366
